"Name","State","Runtime","Created","dataset","model","representation","test/fscore","test/auroc","val/fscore","val/auroc","fit_time","inference_mean_time","inference_std_time","memory_complexity","val/mae","test/mae"
"ptbxl__agg_beat_features__DecisionTreeClassifier","finished","14","2023-01-23T16:42:45.000Z","ptbxl","Decision Tree","agg_beat_features","0.6025605201721191","0.6793155670166016","0.6358417272567749","0.710135281085968","6.542660713195801","0.041054884592692055","0.011531652128312631","190717","",""
"ptbxl__agg_beat_waveforms__DecisionTreeClassifier","finished","9","2023-01-23T16:42:14.000Z","ptbxl","Decision Tree","agg_beat_waveforms","0.6122406125068665","0.6929857730865479","0.6295713186264038","0.7175859212875366","1.7198081016540527","0.04129489262898763","0.02093395952039141","260220","",""
"ptbxl__agg_beat_features__LogisticRegression","finished","58","2023-01-23T16:16:23.000Z","ptbxl","Regression","agg_beat_features","0.7026729583740234","0.88890141248703","0.6977920532226562","0.886073112487793","51.37165331840515","0.03454446792602539","0.008074677636323595","19490","",""
"ptbxl__whole_signal_waveforms__MLPClassifier","finished","100","2023-01-23T17:03:00.000Z","ptbxl","MLP","whole_signal_waveforms","0.46179184317588806","0.596725583076477","0.4685552418231964","0.6134707927703857","89.07214069366455","0.29447114740808805","0.05548117853009454","26745275","",""
"ptbxl__whole_signal_waveforms__DecisionTreeClassifier","finished","108","2023-01-23T16:18:02.000Z","ptbxl","Decision Tree","whole_signal_waveforms","0.41162535548210144","0.5338956117630005","0.4364861845970154","0.5548383593559265","96.75302863121031","0.06691296895345052","0.021504791705355915","427261","",""
"mimic__agg_beat_features__CNNRegressor","finished","405","2023-01-24T01:58:22.000Z","mimic","CNN","agg_beat_features","","","","","383.4423303604126","1.6620612271626791","0.32048493270210326","18867837","17.77411460876465","17.502002716064453"
"mimic__agg_beat_waveforms__LGBMRegressor","finished","10","2023-01-23T16:55:32.000Z","mimic","LGBM","agg_beat_waveforms","","","","","3.246556520462036","0.1216737429300944","0.06493175379780843","1719274","16.935705500528158","16.727171104050402"
"mimic__agg_beat_features__LinearRegression","finished","8","2023-01-23T16:16:08.000Z","mimic","Regression","agg_beat_features","","","","","0.06987738609313965","0.03348350524902344","0.012628729438358894","1410","17.163536071777344","16.879934310913086"
"mimic__agg_beat_features__LGBMRegressor","finished","10","2023-01-23T16:57:10.000Z","mimic","LGBM","agg_beat_features","","","","","2.6869161128997803","0.11324167251586914","0.05211180924343573","1697031","16.916825421510286","16.567607713133768"
"mimic__whole_signal_features__CNNRegressor","finished","625","2023-01-24T01:06:26.000Z","mimic","CNN","whole_signal_features","","","","","602.8295595645905","1.2741778155167898","0.24619887366139973","1134925","16.635244369506836","16.01189422607422"
"mimic__agg_beat_features__MLPRegressor","finished","222","2023-01-23T17:43:38.000Z","mimic","MLP","agg_beat_features","","","","","214.0371050834656","0.12597343996167182","0.032812402503655615","1348993","17.50400161743164","17.301420211791992"
"mimic__whole_signal_waveforms__DecisionTreeRegressor","finished","199","2023-01-23T16:36:44.000Z","mimic","Decision Tree","whole_signal_waveforms","","","","","185.93307065963745","0.04761298497517904","0.02220112960886364","1749663","24.403165699314005","23.99018272453793"
"mimic__whole_signal_features__DecisionTreeRegressor","finished","10","2023-01-23T16:41:58.000Z","mimic","Decision Tree","whole_signal_features","","","","","2.9953324794769287","0.035947958628336586","0.005415374839295181","261782","21.539141752693588","20.758474713540497"
"mimic__whole_signal_waveforms__LGBMRegressor","finished","33","2023-01-23T16:49:37.000Z","mimic","LGBM","whole_signal_waveforms","","","","","21.816277265548703","0.1812601089477539","0.06933303520419093","1448325","17.646799347503162","17.42928836803592"
"mimic__agg_beat_waveforms__CNNRegressor","finished","157","2023-01-24T01:22:26.000Z","mimic","CNN","agg_beat_waveforms","","","","","147.08470845222473","0.7953492277860641","0.10602023202087132","3780749","17.39968490600586","17.251602172851562"
"mimic__whole_signal_waveforms__CNNRegressor","finished","7299","2023-01-23T21:39:20.000Z","mimic","CNN","whole_signal_waveforms","","","","","7027.177135229111","27.651680488586425","1.8980012838454356","14199885","17.347206115722656","16.917869567871094"
"mimic__agg_beat_waveforms__DecisionTreeRegressor","finished","8","2023-01-23T16:42:30.000Z","mimic","Decision Tree","agg_beat_waveforms","","","","","0.27320218086242676","0.03655115763346354","0.01438382657814669","651804","22.042751770038013","21.69587882864573"
"mimic__whole_signal_features__MLPRegressor","finished","108","2023-01-23T17:34:42.000Z","mimic","MLP","whole_signal_features","","","","","100.51045989990234","0.1812557866672675","0.046218928951222926","3619195","16.489307403564453","15.862591743469238"
"mimic__agg_beat_waveforms__LinearRegression","finished","7","2023-01-23T16:15:01.000Z","mimic","Regression","agg_beat_waveforms","","","","","0.14378070831298828","0.0328977902730306","0.011677375273629135","2034","17.337779998779297","17.141483306884766"
"mimic__agg_beat_features__DecisionTreeRegressor","finished","8","2023-01-23T16:43:05.000Z","mimic","Decision Tree","agg_beat_features","","","","","0.7270057201385498","0.036025047302246094","0.01103799060499426","240275","21.7899653279371","21.20905535071501"
"mimic__whole_signal_features__LGBMRegressor","finished","9","2023-01-23T16:53:28.000Z","mimic","LGBM","whole_signal_features","","","","","3.8120663166046143","0.11409680048624676","0.027098031142344027","1745528","15.958288276519715","15.17224042853419"
"mimic__whole_signal_waveforms__MLPRegressor","finished","123","2023-01-23T17:11:01.000Z","mimic","MLP","whole_signal_waveforms","","","","","110.36855506896973","0.31167402694622676","0.06485369025468495","32881019","17.9772891998291","17.774059295654297"
"mimic__whole_signal_waveforms__LinearRegression","finished","338","2023-01-23T12:10:01.000Z","mimic","Regression","whole_signal_waveforms","","","","","327.55726075172424","0.040732224782307945","0.018991969858546176","115111","96.68728637695312","96.3100814819336"
"mimic__whole_signal_features__LinearRegression","finished","9","2023-01-23T12:51:39.000Z","mimic","Regression","whole_signal_features","","","","","0.5682451725006104","0.03705739974975586","0.018132886488329336","6134","16.417118072509766","15.714669227600098"
"mimic__agg_beat_waveforms__MLPRegressor","finished","186","2023-01-23T17:39:10.000Z","mimic","MLP","agg_beat_waveforms","","","","","175.18156123161316","0.1124529069662094","0.0634393755647143","854407","17.0987491607666","16.747291564941406"
