"Name","State","Runtime","Created","representation","model","val/fscore","fit_time","model.net.dropout","model.net.hidden_dims","model.weight_decay","model.learning_rate"
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","104","2023-01-21T17:10:31.000Z","agg_beat_waveforms","MLP","0.7061228156089783","95.49885749816896","0.2","[512]","0.001","0.01"
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","39","2023-01-21T17:07:24.000Z","agg_beat_waveforms","MLP","0.39952799677848816","30.04436445236206","0.2","[256,512,256]","0.001","0.1"
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","37","2023-01-21T17:06:44.000Z","agg_beat_waveforms","MLP","0.39952799677848816","29.88873553276062","0.2","[256,512,256]","0.001","0.05"
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","133","2023-01-21T17:04:28.000Z","agg_beat_waveforms","MLP","0.6931235194206238","125.90887999534608","0.2","[256,512,256]","0.001","0.01"
"ptbxl__agg_beat_waveforms__MLPClassifier","finished","84","2023-01-21T17:03:01.000Z","agg_beat_waveforms","MLP","0.6926535964012146","","0.2","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","164","2023-01-21T16:59:37.000Z","whole_signal_features","MLP","0.7259994745254517","156.04539227485657","0.2","[256,512,256]","0.1","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","169","2023-01-21T16:56:45.000Z","whole_signal_features","MLP","0.7211257219314575","160.72169756889343","0.2","[256,512,256]","0.01","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","144","2023-01-21T16:54:18.000Z","whole_signal_features","MLP","0.7205849289894104","134.47869992256165","0.2","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","202","2023-01-21T16:50:53.000Z","whole_signal_features","MLP","0.722125232219696","190.6650550365448","0.2","[256,512,256]","0.0001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","182","2023-01-21T16:47:00.000Z","whole_signal_features","MLP","0.7169369459152222","173.7310118675232","0.4","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","70","2023-01-21T16:45:46.000Z","whole_signal_features","MLP","0.6171581149101257","60.6190881729126","0.3","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","183","2023-01-21T16:42:40.000Z","whole_signal_features","MLP","0.7202053070068359","174.25651144981384","0.2","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","134","2023-01-21T16:40:23.000Z","whole_signal_features","MLP","0.7211394309997559","126.04728841781616","0.1","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","132","2023-01-21T16:38:08.000Z","whole_signal_features","MLP","0.71897953748703","121.70940732955933","0","[256,512,256]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","233","2023-01-21T16:29:05.000Z","whole_signal_features","MLP","0.7018188238143921","224.27106738090515","0.2","[128,256,512,256,128]","0.001","0.001"
"ptbxl__whole_signal_features__MLPClassifier","finished","118","2023-01-21T16:27:04.000Z","whole_signal_features","MLP","0.7270694971084595","109.30384278297424","0.2","[256,512,256]","0.001","0.001"
