"Name","State","Runtime","Created","representation","model","val/fscore","model.C","model.max_iter","model.solver","fit_time"
"ptbxl__whole_signal_features__LogisticRegression","finished","194","2023-01-20T14:06:04.000Z","whole_signal_features","Regression","0.6806734204292297","0.01","2000","lbfgs","185.91579937934875"
"ptbxl__whole_signal_features__LogisticRegression","finished","194","2023-01-20T14:02:47.000Z","whole_signal_features","Regression","0.6823635697364807","0.001","2000","lbfgs","183.59440112113953"
"ptbxl__whole_signal_features__LogisticRegression","finished","430","2023-01-20T13:41:11.000Z","whole_signal_features","Regression","0.6855717301368713","0.1","5000","lbfgs","423.34853506088257"
"ptbxl__whole_signal_features__LogisticRegression","finished","173","2023-01-20T13:38:16.000Z","whole_signal_features","Regression","0.680458664894104","0.1","2000","lbfgs","166.02793383598328"
"ptbxl__whole_signal_features__LogisticRegression","finished","55","2023-01-20T13:37:18.000Z","whole_signal_features","Regression","0.6666334271430969","0.1","500","lbfgs","44.40678644180298"
"ptbxl__whole_signal_features__LogisticRegression","finished","20","2023-01-20T13:36:55.000Z","whole_signal_features","Regression","0.5875102281570435","0.1","100","lbfgs","10.30764937400818"
"ptbxl__agg_beat_features__LogisticRegression","finished","457","2023-01-20T13:04:03.000Z","agg_beat_features","Regression","0.6837536096572876","0.1","2000","saga","449.1869556903839"
"ptbxl__agg_beat_features__LogisticRegression","finished","342","2023-01-20T12:58:18.000Z","agg_beat_features","Regression","0.6925036907196045","0.1","2000","sag","332.93856263160706"
"ptbxl__agg_beat_features__LogisticRegression","finished","62","2023-01-20T12:57:13.000Z","agg_beat_features","Regression","0.6977920532226562","0.1","2000","newton-cg","53.98017764091492"
"ptbxl__agg_beat_features__LogisticRegression","finished","54","2023-01-20T12:56:16.000Z","agg_beat_features","Regression","0.6971139907836914","0.1","2000","lbfgs","47.07542562484741"
"ptbxl__agg_beat_features__LogisticRegression","finished","54","2023-01-20T12:48:52.000Z","agg_beat_features","Regression","0.6910080909729004","1","2000","lbfgs","45.9440712928772"
"ptbxl__agg_beat_features__LogisticRegression","finished","60","2023-01-20T12:47:49.000Z","agg_beat_features","Regression","0.6971139907836914","0.1","2000","lbfgs","49.2549569606781"
"ptbxl__agg_beat_features__LogisticRegression","finished","66","2023-01-20T12:46:39.000Z","agg_beat_features","Regression","0.6947765350341797","0.01","2000","lbfgs","54.82510304450989"
"ptbxl__agg_beat_features__LogisticRegression","finished","55","2023-01-20T12:45:41.000Z","agg_beat_features","Regression","0.684998631477356","0.001","2000","lbfgs","45.767584800720215"
"ptbxl__agg_beat_features__LogisticRegression","finished","145","2023-01-20T12:38:01.000Z","agg_beat_features","Regression","0.6977728605270386","0.1","5000","lbfgs","137.44137620925903"
"ptbxl__agg_beat_features__LogisticRegression","finished","65","2023-01-20T12:36:53.000Z","agg_beat_features","Regression","0.6971139907836914","0.1","2000","lbfgs","54.91528630256653"
"ptbxl__agg_beat_features__LogisticRegression","finished","20","2023-01-20T12:36:30.000Z","agg_beat_features","Regression","0.6731070280075073","0.1","500","lbfgs","13.40917420387268"
"ptbxl__agg_beat_features__LogisticRegression","finished","14","2023-01-20T12:36:13.000Z","agg_beat_features","Regression","0.6514471769332886","0.1","100","lbfgs","3.697877168655395"
